London Borough,Region,Area (sq.Km),Density: Population / sq.Km,North,South,East,West
City,Inner,3.149380,2413.173069,182206.100000,180406.700000,533839.600000,530967.700000
Islington,Inner,14.856653,14202.391776,187968.700000,181659.100000,533484.500000,528832.400000
Enfield,Outer,82.200191,3860.088338,200933.900000,191460.900000,537813.000000,525568.600000
Croydon,Outer,86.495565,4264.958548,171048.700000,155850.800000,539657.900000,528185.700000
Havering,Outer,114.457267,2094.231384,194889.300000,178410.900000,561957.500000,548106.900000
Hillingdon,Outer,115.701098,2435.586215,193619.800000,173846.200000,512764.700000,503568.200000
Bromley,Outer,150.134858,2091.453007,173658.300000,156480.900000,550541.200000,533531.500000
